番号,単語,品詞,訳語,レベル
441,stage,名詞,舞台、ステージ,B
442,uniform,名詞,制服、ユニフォーム,B
443,volunteer,名詞,ボランティアをする人,B
444,award,名詞,賞、賞品,B
445,basket,名詞,かご,B
446,boss,名詞,上司,B
447,classmate,名詞,同級生、クラスメート,B
448,court,名詞,（テニスなどの）コート、法廷,B
449,dessert,名詞,デザート,B
450,dream,名詞,夢,B
451,environment,名詞,環境,B
452,exam,名詞,試験、テスト,B
453,fashion,名詞,ファッション、流行,B
454,field,名詞,野原、競技場、グラウンド,B
455,forest,名詞,森、森林,B
456,hole,名詞,穴,B
457,kilogram,名詞,キログラム,B
458,life,名詞,生涯、生活、命,B
459,meat,名詞,肉,B
460,meter,名詞,メートル,B
461,mind,名詞,心、精神,B
462,package,名詞,小包、小荷物,B
463,painting,名詞,絵画、絵を描くこと,B
464,platform,名詞,プラットフォーム、ホーム,B
465,project,名詞,研究課題、計画、事業,B
466,road,名詞,道路,B
467,rock,名詞,岩、ロック音楽,B
468,scientist,名詞,科学者,B
469,score,名詞,点数,B
470,shape,名詞,形,B
471,side,名詞,側、側面,B
472,sightseeing,名詞,観光,B
473,steak,名詞,ステーキ,B
474,stomachache,名詞,腹痛、胃痛,B
475,dark,形容詞,暗い,B
476,foreign,形容詞,外国の,B
477,full,形容詞,満員の、いっぱいの、満腹で,B
478,local,形容詞,その土地の、地元の,B
479,silent,形容詞,静かな、無言の,B
480,snowy,形容詞,雪の降る、雪の多い,B
481,true,形容詞,本当の、真実の,B
482,wonderful,形容詞,素晴らしい,B
483,bright,形容詞,光り輝く、明るい,B
484,careful,形容詞,注意深い、気を付ける,B
485,fresh,形容詞,新鮮な,B
486,million,形容詞,100万の,B
487,national,形容詞,国民の、国立の、全国的な,B
488,rich,形容詞,裕福な、豊かな、金持ちの,B
489,several,形容詞,数個の、いくつかの,B
490,thirsty,形容詞,のどが渇いた,B
491,below,副詞,下に,B
492,everywhere,副詞,あらゆる所に、どこでも、いたるところに,B
493,anytime,副詞,いつでも,B
494,anywhere,副詞,どこかへ、どこにも～ない,B
495,carefully,副詞,注意深く,B
496,inside,前置詞,〜のなかに,B
497,across,前置詞,～を渡って、～を横切って,B
498,behind,前置詞,〜の後ろに,B
499,without,前置詞,〜なしで、～しないで,B
500,someone,代名詞,誰か、ある人,B
501,burn,動詞,燃える、～を燃やす,B
502,cross,動詞,～を横断する、～を渡る,B
503,cut,動詞,～を切る,B
504,exchange,動詞,～を交換する,B
505,explain,動詞,～を説明する,B
506,imagine,動詞,～を想像する,B
507,mean,動詞,～を意味する,B
508,pull,動詞,～を引く,B
509,reach,動詞,～に着く、～に届く,B
510,shut,動詞,～を閉める、閉まる,B
511,smell,動詞,～のにおいがする、～のにおいをかぐ,B
512,action,名詞,行動、アクション,B
513,actress,名詞,女優,B
514,belt,名詞,ベルト,B
515,body,名詞,体,B
516,butter,名詞,バター,B
517,button,名詞,ボタン,B
518,capital,名詞,首都,B
